x,Curve1,Curve2,Curve3,Curve4
"0,01005","2,41633",,,
"0,02796",,"3,17318",,
"0,1893",,"2,87211",,
"0,20449",,,,"1,95521"
"0,23954","2,13893",,,
"0,26139",,,,"2,02353"
"0,30372",,,,"2,09632"
"0,3093",,,"3,69546",
"0,32064",,"2,60089",,
"0,32551","1,99375",,,
"0,36117",,,,"2,12851"
"0,4356",,,,"2,17785"
"0,44558","1,85719",,,
"0,51893",,,"3,09091",
"0,5251",,,,"2,1973"
"0,57426","1,70356",,,
"0,61902",,,,"2,18254"
"0,68174",,"1,99241",,
"0,69606",,,,"2,12713"
"0,70297","1,54137",,,
"0,76457",,,,"2,0717"
"0,78413",,,"2,46512",
"0,83173","1,37063",,,
"0,93186",,,,"1,86898"
"0,99981",,"1,46508",,
"1,02758",,,"1,92906",
"1,1063","1,02919",,,
"1,15501",,,,"1,57874"
"1,22584",,,,"1,48269"
"1,24355","0,86703",,,
"1,34775",,"0,93781",,
"1,37222","0,71339",,,
"1,39347",,,"1,20515",
"1,47704",,,,"1,11982"
"1,59514","0,47445",,,
"1,59961",,,,"0,90204"
"1,68226",,"0,54734",,
"1,74339",,,"0,70995",
"1,75779","0,3551",,,
"1,87644",,,,"0,53281"
"1,92897","0,23577",,,
"1,96068",,"0,29997",,
"1,96874",,,,"0,40475"
"2,03162","0,17827",,,
"2,08006",,,"0,31521",
"2,0801",,,,"0,30666"
"2,15776","0,11442",,,
"2,24909",,,,"0,20015"
"2,28798",,"0,0912",,
"2,28814","0,05486",,,
"2,36467",,,"0,11275",
"2,39235",,,,"0,12351"
"2,41624","0,02949",,,
"2,46741",,"0,03389",,
"2,48855",,,,"0,07669"
"2,48883","0,01469",,,
"2,50789",,,"0,04467",
"2,55897",,,,"0,07044"
"2,60583",,,,"0,08551"
"2,65474",,,,"0,11769"
"2,71628",,,,"0,18838"
"2,75653",,,,"0,25046"
"2,78399",,,,"0,31039"
"2,79027",,,,"0,33606"
"2,80291",,,,"0,37243"
