x	Curve1	Curve2	Curve3	Curve4
0.01005	2.41633	3.20531	4.51938	0.06196
0.02796	2.39565	3.17318	4.47732	0.46897
0.1893	2.20477	2.87211	4.05592	1.93936
0.20449	2.1856	2.83886	4.01205	1.95521
0.23954	2.13893	2.75903	3.90844	1.99335
0.26139	2.10641	2.71299	3.84242	2.02353
0.30372	2.03025	2.63164	3.71264	2.09632
0.3093	2.02001	2.62142	3.69546	2.1016
0.32064	2.00106	2.60089	3.66053	2.10924
0.32551	1.99375	2.59216	3.64553	2.11177
0.36117	1.94888	2.52949	3.53648	2.12851
0.4356	1.86811	2.40233	3.317	2.17785
0.44558	1.85719	2.38549	3.28876	2.18237
0.51893	1.77175	2.26267	3.09091	2.19701
0.5251	1.76423	2.25239	3.07506	2.1973
0.57426	1.70356	2.17069	2.95221	2.19544
0.61902	1.64798	2.09644	2.84445	2.18254
0.68174	1.56895	1.99241	2.69789	2.13854
0.69606	1.55043	1.96862	2.66496	2.12713
0.70297	1.54137	1.95712	2.64912	2.12214
0.76457	1.45831	1.85453	2.50922	2.0717
0.78413	1.43234	1.82192	2.46512	2.05053
0.83173	1.37063	1.74255	2.35806	1.99463
0.93186	1.24434	1.57643	2.13604	1.86898
0.99981	1.15987	1.46508	1.98865	1.78126
1.02758	1.12557	1.42	1.92906	1.74516
1.1063	1.02919	1.29415	1.76215	1.6424
1.15501	0.97064	1.21812	1.66099	1.57874
1.22584	0.88781	1.11084	1.51777	1.48269
1.24355	0.86703	1.08471	1.4828	1.45801
1.34775	0.7419	0.93781	1.28574	1.31151
1.37222	0.71339	0.90525	1.24206	1.27649
1.39347	0.68896	0.87761	1.20515	1.2458
1.47704	0.59559	0.77396	1.06953	1.11982
1.59514	0.47445	0.63938	0.90053	0.90867
1.59961	0.47032	0.63453	0.89454	0.90204
1.68226	0.40409	0.54734	0.78721	0.78764
1.74339	0.36446	0.48591	0.70995	0.70688
1.75779	0.3551	0.47192	0.69175	0.68804
1.87644	0.27235	0.36569	0.54272	0.53281
1.92897	0.23577	0.32389	0.47908	0.46053
1.96068	0.21542	0.29997	0.44195	0.41463
1.96874	0.21062	0.29403	0.4327	0.40475
2.03162	0.17827	0.2492	0.3637	0.34468
2.08006	0.15428	0.21628	0.31521	0.30669
2.0801	0.15426	0.21626	0.31517	0.30666
2.15776	0.11442	0.16618	0.24736	0.25432
2.24909	0.06932	0.11204	0.18101	0.20015
2.28798	0.05491	0.0912	0.15638	0.17869
2.28814	0.05486	0.09112	0.15628	0.1786
2.36467	0.03744	0.05715	0.11275	0.1381
2.39235	0.03309	0.04815	0.09816	0.12351
2.41624	0.02949	0.04213	0.08602	0.11069
2.46741	0.01982	0.03389	0.06191	0.08484
2.48855	0.01476	0.03102	0.05277	0.07669
2.48883	0.01469	0.03098	0.05265	0.0766
2.50789	0.0101	0.02781	0.04467	0.07172
2.55897	0.00028	0.01451	0.02267	0.07044
2.60583	-0.00626	-0.00379	0.00017	0.08551
2.65474	-0.01182	-0.02752	-0.02537	0.11769
2.71628	-0.01782	-0.06194	-0.0594	0.18838
2.75653	-0.02137	-0.08641	-0.0824	0.25046
2.78399	-0.02367	-0.10378	-0.09834	0.31039
2.79027	-0.02419	-0.10782	-0.10202	0.33606
2.80291	-0.02521	-0.11602	-0.10942	0.37243
